Date,Open,High,Low,Close,Volume,SMA_20,EMA_20,RSI,Bollinger_Upper,Bollinger_Lower,Returns,Days_Index,Trendline
2023-01-30,320.67311067186165,325.15643892598655,316.0049200609692,318.73187255859375,14091519,309.29838409423826,310.76464627335116,60.30537659989053,318.4732065442593,300.1235616442172,,0,375.43384310096803
2023-01-31,319.8411371056414,328.1607042557881,315.26536388892555,325.7110595703125,17134291,310.1996704101563,312.1881142063951,76.57779127742012,321.90095361462045,298.4983872056921,0.021896733940330204,1,375.6671616901993
2023-02-01,326.3118895692622,338.05173370758814,304.21882393454365,334.0768127441406,64518967,311.60012969970705,314.27275216237086,84.33873830261649,327.25555455043923,295.9447048489749,0.025684584321037374,2,375.9004802794306
2023-02-02,334.2617035269153,355.6152634309847,333.1524166967029,349.9764404296875,55745171,313.9850738525391,317.67310342592486,91.77367987186139,336.6323009521715,291.33784675290667,0.04759273041114631,3,376.13379886866187
2023-02-03,353.0269553819378,353.35049974188536,343.8754372896831,351.8714599609375,22295321,316.1666488647461,320.93008976259273,93.76050808468375,344.2396618578616,288.09363587163057,0.005414705998276315,4,376.3671174578932
2023-02-06,353.5815926546401,358.85066296656953,350.9008489667769,354.4135437011719,25790153,318.40137786865233,324.1189901376955,93.89435905370084,351.05528493935486,285.7474707979498,0.0072244669701730935,5,376.60043604712445
2023-02-07,354.8757291263704,354.8757291263704,340.59382341081016,345.0309143066406,20643707,320.02831573486327,326.11060196330936,79.83984361109216,354.6270489218169,285.42958254790966,-0.026473676193487505,6,376.8337546363557
2023-02-08,346.417507196883,348.7747064353692,343.4594278059307,347.1570129394531,10420462,321.9764801025391,328.11502205627545,79.81044652000831,358.12266110815244,285.8302990969257,0.006162052571680565,7,377.067073225587
2023-02-09,345.72419268876297,351.27057011157734,344.01405400799496,345.9552917480469,11861196,323.93851165771486,329.8140953602537,81.23145436929916,360.84854259903,287.0284807163997,-0.00346160713053445,8,377.3003918148183
2023-02-10,344.0603397234524,348.4512224748945,342.3039640546048,343.27459716796875,10278597,325.85663452148435,331.09604791336943,77.08186248154087,362.590275487158,289.1229935558107,-0.007748673438504383,9,377.53371040404954
2023-02-13,344.7998317700211,346.7872782413733,342.02664277455176,345.90911865234375,9901148,327.9573272705078,332.5068165551765,76.980081402532,364.2050245709742,291.70962997004136,0.0076746765012905005,10,377.76702899328086
2023-02-14,346.64859236935007,358.3421992432092,345.49309706145226,357.2329406738281,29125052,330.55719299316405,334.8616855188576,80.21632728322015,367.3971133144156,293.7172726719125,0.03273640794900645,11,378.0003475825121
2023-02-15,358.4536095698395,359.4864875223059,355.448878918162,358.87615966796875,12209350,333.144465637207,337.14877829496345,80.58139113026242,370.32365545011675,295.9652758242973,0.004599852944807248,12,378.23366617174344
2023-02-16,358.68834830772823,361.7400161925453,357.7493735739384,359.20477294921875,9775280,335.6372406005859,339.2493492144163,78.89616121137936,372.7842817197554,298.4901994814164,0.0009156731992285838,13,378.4669847609747
2023-02-17,357.79630286371264,361.08271435863537,356.10615984270316,360.0028991699219,7672135,338.2854736328125,341.2258777816074,80.43535893796977,374.3849189923948,302.18602827323025,0.0022219254330897442,14,378.70030335020596
2023-02-20,361.2236378293473,363.85275595869535,358.03110040126086,360.61328125,7804976,340.85098724365236,343.0722971595495,78.40705529122003,375.54352496547193,306.1584495218328,0.00169549212377329,15,378.9336219394373
2023-02-21,361.5052762477518,362.3503477858554,358.4066710562937,358.923095703125,8259574,343.18639984130857,344.58189702084246,72.68787456061493,375.999930986283,310.37286869633414,-0.004686975313322628,16,379.16694052866853
2023-02-22,358.6883669951583,361.4113881339696,356.8104174297386,360.42547607421875,8961077,345.54146575927734,346.0908093116402,62.94495274102079,376.0078845785728,315.07504693998186,0.0041858002148080775,17,379.4002591178998
2023-02-23,360.9888902458202,369.9560885441218,359.72126847534474,363.9466552734375,18830592,348.05872650146483,347.7913660699066,64.38014342346847,375.5917362001007,320.525716802829,0.009769506965966235,18,379.6335777071311
2023-02-24,365.2612087512463,365.2612087512463,357.7494101136885,361.5992126464844,12910220,350.146630859375,349.10639907719974,58.59714562789176,374.85861953526927,325.4346421834808,-0.006449963457390351,19,379.86689629636237
2023-02-27,361.59918070248176,363.1954205788068,355.0263574752679,358.87615966796875,8142319,352.1538452148437,350.03685246679674,69.7049219631563,372.2036819132512,332.10400851643624,-0.007530583262574164,20,380.1002148855937
